ID Year Sex Age Mass BL BMI RelativeJulian Phi Rho Fitness StMass Mother A animal M2006 M2007 M2008 M2009 M2010 M2011 M2012 M2013 M2014 M2015 M2016 A2006 A2007 A2008 A2009 A2010 A2011 A2012 A2013 A2014 A2015 A2016 A1 A2 BL1 BL2 BMI1 BMI2 BMIPhi1 BMIPhi2 BMIRho1 BMIRho2 RJst RJ2st Ast BLst BMIst FitnessYear OS PhiZ RhoZ FitnessZ
CN06-039 2007 Female A 41.4277271868996 0.1235 335.445960110088 21.5 0 0 0 1.22947285610317 NA 41.4277271868996 CN06-039 NA 41.4277271868996 NA NA NA NA NA NA NA NA NA NA 41.4277271868996 NA NA NA NA NA NA NA NA NA 41.4277271868996 NA 0.1235 NA 335.445960110088 NA 335.445960110088 NA 335.445960110088 NA -1.87484793763197 -1.40287807556066 0.76829727977543 1.50579274600708 0.852991598438777 0 NA 0 0 0
CN06-040 2006 Female A 34.1843546265169 NA 302.075204498403 76.1666666666667 0 3 3 0.370730571169822 NA 34.1843546265169 CN06-040 34.1843546265169 NA NA NA NA NA NA NA NA NA NA 34.1843546265169 NA NA NA NA NA NA NA NA NA NA 34.1843546265169 NA NA NA 302.075204498403 NA NA 302.075204498403 302.075204498403 NA -0.170820093607665 -0.367242991911741 -1.26509783711269 NA 0.246019711296488 1.85472972972973 33.6356811579846 0 0 0
CN06-041 2006 Female J 20 NA 221.087771412061 55 0 0 0 -1.31090391618239 CN06-062 38.6758715142058 CN06-041 20 NA NA NA NA NA NA NA NA NA NA 38.6758715142058 NA NA NA NA NA NA NA NA NA NA 38.6758715142058 NA NA NA 221.087771412061 NA NA 221.087771412061 221.087771412061 NA -0.830611362482929 -0.905777761409503 -0.00421715884966121 NA -1.22703938473471 0 NA 0 0 0
CN06-042 2006 Male A 34.878393545233 NA 317.227856931835 80 0 7 7 0.453012762500236 NA 34.878393545233 CN06-042 34.878393545233 NA NA NA NA NA NA NA NA NA NA 34.878393545233 NA NA NA NA NA NA NA NA NA NA 34.878393545233 NA NA NA 317.227856931835 NA NA 317.227856931835 317.227856931835 NA -0.0513303362523023 -0.251124143124397 -1.07026382347017 NA 0.521627316642739 4.3277027027027 NA 0 0 0
CN06-043 2006 Male J 16 NA 170.386397056929 55 0 0 0 -1.78512626372818 CN06-F12 39.1908711520498 CN06-043 16 NA NA NA NA NA NA NA NA NA NA 39.1908711520498 NA NA NA NA NA NA NA NA NA NA 39.1908711520498 NA NA NA 170.386397056929 NA NA 170.386397056929 170.386397056929 NA -0.830611362482929 -0.905777761409503 0.140356068616057 NA -2.14923333296721 0 NA 0 0 0
CN06-044 2006 Female A 37.2364332694678 NA 325.042645555936 76.5 0 2 2 0.732571545908449 NA 37.2364332694678 CN06-044 37.2364332694678 NA NA NA NA NA NA NA NA NA NA 37.2364332694678 NA NA NA NA NA NA NA NA NA NA 37.2364332694678 NA NA NA 325.042645555936 NA NA 325.042645555936 325.042645555936 NA -0.16042967992459 -0.357372000729039 -0.408303331901312 NA 0.663768449255506 1.23648648648649 38.2062848051375 0 0 0
CN06-048 2006 Male J 24.8333333333333 NA 170.131919409534 95.8333333333333 0 0 0 -0.737885246231227 CN06-040 34.0932017640511 CN06-048 24.8333333333333 NA NA NA NA NA NA NA NA NA NA 34.0932017640511 NA NA NA NA NA NA NA NA NA NA 34.0932017640511 NA NA NA 170.131919409534 NA NA 170.131919409534 170.131919409534 NA 0.442214313693761 0.288897740765519 -1.29068671630996 NA -2.15386195989049 0 NA 0 0 0
CN06-049 2006 Female J 22.5 NA 229.816414491258 56.5 0 0 0 -1.01451494896627 CN06-081 38.9368882698346 CN06-049 22.5 NA NA NA NA NA NA NA NA NA NA 38.9368882698346 NA NA NA NA NA NA NA NA NA NA 38.9368882698346 NA NA NA 229.816414491258 NA NA 229.816414491258 229.816414491258 NA -0.783854500909091 -0.87333603765893 0.0690567466269799 NA -1.06827639406042 0 NA 0 0 0
CN06-050 2006 Female A 41.9001779448017 NA 340.616823239442 100.666666666667 1 5 7 1.28548453298121 CN05-F2 41.9001779448017 CN06-050 41.9001779448017 NA NA NA NA NA NA NA NA NA NA 41.9001779448017 NA NA NA NA NA NA NA NA NA NA 41.9001779448017 NA NA NA 340.616823239442 NA NA 340.616823239442 340.616823239442 NA 0.592875312098349 0.473122118237009 0.900925976709058 NA 0.947043066385747 4.3277027027027 37.2056203495926 1 7 9
CN06-050 2007 Female A 42.2548038694198 0.11875 356.185914662922 70.125 0 7 7 1.32752741759945 CN05-F2 42.2548038694198 CN06-050 NA 42.2548038694198 NA NA NA NA NA NA NA NA NA NA 42.2548038694198 NA NA NA NA NA NA NA NA NA 42.2548038694198 NA 0.11875 NA 356.185914662922 NA 356.185914662922 NA 356.185914662922 NA -0.3591463416134 -0.538683775759918 1.00047830781298 1.09400352534584 1.23022517087161 4.50333333333333 38.4151760707133 0 0 0
