RUN	Year	DeltaBV	Sel	Var	Beta	DeltaBVRecruits	SelRecruits	VarRecruits	BetaRecruits
93	4	-0.105679	-0.411245	0.952173	-0.431901	0.020592	-0.11164	1.01314	-0.110192
93	5	-0.00133829	-0.0997467	1.03413	-0.0964545	0.145708	-0.484725	1.02356	-0.473566
93	6	0.114787	-0.165226	0.702224	-0.235289	-0.186507	-0.21104	0.935823	-0.225512
93	7	-0.210371	0.303084	1.18969	0.25476	-0.0932283	-0.112392	1.18082	-0.0951818
93	8	-0.0455046	-0.691618	1.25903	-0.549327	0.0198803	-0.19523	1.13093	-0.172628
93	9	0.0306044	0.250014	0.795361	0.31434	0.0551464	0.137433	0.77142	0.178156
94	0	0.0629216	0.125841	1.02727	0.122501	0.0757219	0.202437	1.02727	0.197062
94	1	0.0177697	-0.138671	0.926015	-0.14975	0.00010578	-0.113946	0.992216	-0.114839
94	2	-0.00806235	-0.0771226	1.03296	-0.0746619	-0.0714107	-0.069156	0.941931	-0.0734194
94	3	-0.077287	0.0868722	0.997177	0.0871181	0.0189846	0.127286	1.07068	0.118884
94	4	-0.0112758	-0.237529	1.07111	-0.22176	-0.0404443	0.194865	1.1886	0.163944
94	5	-0.00197232	-0.148913	0.891499	-0.167037	0.393059	-0.112535	1.25737	-0.0895004
94	6	0.452185	0.191756	1.07274	0.178753	0.138925	0.0059077	0.229093	0.0257873
94	7	0.0436908	0.152263	0.627698	0.242574	-0.0912998	-0.0169643	0.631277	-0.026873
94	8	-0.107848	-0.456265	0.906736	-0.503195	-0.142353	-0.182136	0.68599	-0.265508
94	9	-0.105309	-0.186844	0.985476	-0.189598	-0.0461755	-0.247803	1.12838	-0.219609
95	0	-0.0223677	-0.136427	1.21293	-0.112477	-0.0480332	-0.0609922	1.21293	-0.050285
95	1	-0.0588134	-0.196389	1.07428	-0.18281	-0.0352739	-0.0664586	1.02738	-0.0646877
95	2	-0.0471348	-0.200721	0.986033	-0.203564	-0.10887	-0.0440797	1.03977	-0.0423935
95	3	-0.067349	0.274108	1.07018	0.256134	-0.0142879	-0.190786	0.487417	-0.391424
95	4	-0.0202096	-0.349338	0.826114	-0.422869	-0.0445572	-0.148187	1.08984	-0.135972
95	5	-0.00860511	0.0463609	1.11374	0.0416263	0.232053	-0.0555882	0.233576	-0.237988
95	6	0.249474	0.61373	0.491003	1.24995	-0.0824885	0.146532	0.148417	0.987298
95	7	-0.112984	-0.339518	0.635372	-0.53436	0.0870643	-0.254702	0.550629	-0.462565
95	8	0.0558488	0.0241193	0.892353	0.0270289	0.133153	0.200886	1.67061	0.120247
95	9	0.132095	0.246488	0.922841	0.267097	-0.107078	-0.0469281	0.866555	-0.0541549
96	0	0.0134612	0.125875	1.00116	0.125729	-0.173083	0.0974216	1.00116	0.0973082
96	1	-0.246841	0.170119	0.980901	0.173431	0.00673261	0.257632	0.658786	0.391072
96	2	0.0734314	0.370499	0.856167	0.432741	0.0543089	0.288024	0.830384	0.346856
96	3	0.00958703	0.32994	0.896668	0.367962	-0.0430957	0.0534523	0.70397	0.0759298
96	4	-0.0546192	-0.0335868	0.858578	-0.039119	-0.0370828	-0.0261768	0.953426	-0.0274555
96	5	0.0289295	-0.125414	0.906342	-0.138374	0.0908568	0.294073	0.890832	0.33011
